name,kingdom,profession
"Amara Ndlovu","Africa","Hotel Concierge"
"Amare Bekele","Africa","Mobile Money Agent"
"Kofi Adeyemi","Africa","Wildlife Vet Tech"
"Kwame Mensah","Africa","Solar Installer"
"Zuri Okoro","Africa","Radio Host"
"Hassan Al Noor","Arabia","Facilities Engineer"
"Layla Haddad","Arabia","Site Safety Officer"
"Mariam Al Saif","Arabia","Site Safety Officer"
"Omar Rahman","Arabia","Account Executive"
"Samir Al-Farsi","Arabia","Airport Ground Staff"
"Lien Tran","Asia","Port Operations Exec"
"Mahe Nguyen","Asia","Graphic Designer"
"Putri Dewi","Asia","Restaurant Manager"
"Somchai Prasert","Asia","Market Trader"
"Somporn Suriya","Asia","Restaurant Manager"
"Blake O'Connor","Australia","Surf Instructor"
"Cooper Mitchell","Australia","Warehouse Lead"
"Nara Waru","Australia","Electrician"
"Sienna Harper","Australia","Cafe Owner"
"Tahlia Lawson","Australia","Paramedic"
"Bhavna Joshi","Baroda","Insurance Agent"
"Kishor Mehta","Baroda","Insurance Agent"
"Neel Patel","Baroda","Chemical Plant Tech"
"Rupa Desai","Baroda","Call Center Lead"
"Siddharth Gaekwad","Baroda","Lab Assistant"
"Bo Tao","China","Civil Engineer"
"Ling Zhao","China","Restaurant Owner"
"Mei Chen","China","Civil Engineer"
"Wei Li","China","Hardware Engineer"
"Xinyi Zhang","China","App Designer"
"Elena Rossi","Europe","Nurse"
"Luca Bianchi","Europe","Product Manager"
"Maximilian Keller","Europe","Chef"
"Nikos Papadakis","Europe","Train Conductor"
"Sophie Dubois","Europe","Train Conductor"
"Arjun Reddy","Hyderabad","QA Engineer"
"Ayesha Qureshi","Hyderabad","Medical Sales Rep"
"Faizan Ali","Hyderabad","Startup Operator"
"Jay Naidu","Hyderabad","App Developer"
"Zoya Begum","Hyderabad","Startup Operator"
"Arjun Malhotra","India","Teacher"
"Priya Nair","India","Software Engineer"
"Raghav Solanki","India","Fitness Trainer"
"Ruta Dogra","India","Video Editor"
"Yuvraj Bhaduria","India","Retail Owner"
"Devansh Agrawal","Indore","Retail Trader"
"Kriti Jain","Indore","Operations Executive"
"Naveen Rajput","Indore","Factory Supervisor"
"Pooja Sharma","Indore","Operations Executive"
"Tarun Malhotra","Indore","Food Vendor"
"Ishita Shekhawat","Jaipur","Hotel Front Desk"
"Kunal Rathore","Jaipur","Jewelry Designer"
"Pratap Singh","Jaipur","Architect Assistant"
"Rajvi Rathore","Jaipur","Bus Dispatcher"
"Smriti Vyas","Jaipur","Event Planner"
"Arjun Deshmukh","Maratha Empire","Logistics Supervisor"
"Bajirao Kale","Maratha Empire","Small Business Owner"
"Sameer Pawar","Maratha Empire","Auto Workshop Manager"
"Savitri Shinde","Maratha Empire","Logistics Supervisor"
"Vidya Patil","Maratha Empire","Small Business Owner"
"Anvika Nayak","Mysore","School Teacher"
"Kaveri Rao","Mysore","Mechanic"
"Meenakshi Gowda","Mysore","Tour Guide"
"Rohan Iyengar","Mysore","Hospital Pharmacist"
"Veerendra Wodeyar","Mysore","Software Tester"
"Brianna Lee","N. America","Retail Manager"
"Casey Morgan","N. America","Barista"
"Dexter Hughes","N. America","Software Engineer"
"Jordan Walker","N. America","Software Engineer"
"Maria Rodriguez","N. America","Mortgage Broker"
"Ananya Khanna","New Delhi","Real Estate Agent"
"Arvind Chundawat","New Delhi","Paralegal"
"Farhan Siddiqui","New Delhi","Marketing Manager"
"Kabir Verma","New Delhi","UX Designer"
"Meera Luthra","New Delhi","UX Designer"
"Anya Petrova","Russia","Mining Surveyor"
"Dmitri Kuznetsov","Russia","Mechanical Engineer"
"Irina Sokolova","Russia","Security Consultant"
"Nikolai Ivanov","Russia","Mechanical Engineer"
"Sergei Volkov","Russia","Mining Surveyor"
"Belem Moraes","S. America","Tour Guide"
"Camila Rojas","S. America","Tour Guide"
"Iara Santos","S. America","Bartender"
"Mateus Carvalho","S. America","Graphic Designer"
"Rafael Mendes","S. America","Street Food Vendor"
"Amrita Kaur","Sikh Empire","Retail Shopkeeper"
"Gurdeep Singh","Sikh Empire","Sports Equipment Seller"
"Harjit Sandhu","Sikh Empire","Retail Shopkeeper"
"Harleen Kaur","Sikh Empire","Fitness Trainer"
"Jaspreet Dhillon","Sikh Empire","Nurse"
"Geeta Chhetri","Sikkim","Shopkeeper"
"Karan Bhutia","Sikkim","Taxi Operator"
"Pema Sherpa","Sikkim","Cafe Owner"
"Sonu Biswas","Sikkim","Taxi Operator"
"Tenzin Lama","Sikkim","Forest Ranger"
"Anil Nair","Travancore","Hotel Manager"
"Hari Krishnan","Travancore","Boat Mechanic"
"Lekha Pillai","Travancore","Marine Logistics Exec"
"Mohan Menon","Travancore","Boat Mechanic"
"Nila Varma","Travancore","Tour Operator"
